(Last update: 03-03-2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 data is preliminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بيانات 2023 أولية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Tourists Number & Spending by Destination- Main Governorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عدد السياح المحليين والإنفاق حسب الوجهات- المحافظات الرئيسة,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,منطقة الباحة,,,منطقة القصيم,,,,منطقة عسير,,,المنطقة الشرقية,,,,منطقة حائل,,منطقة جازان,,منطقة الجوف,,,منطقة المدينة المنورة,,,,منطقة مكة المكرمة,,,,,منطقة نجران,,منطقة الحدود الشمالية,,منطقة الرياض,,منطقة تبوك,,,,,,,,
,,,,Albaha province,,,AlQassim Province,,,,Aseer Province,,,Eastern Province,,,,Hail Province,,Jazan Province,,Jouf Province,,,Madinah Province,,,,Makkah Province,,,,,Najran Province,,Northern Borders Province,,Riyadh Province,,Tabuk Province,,,,,,,,
,,Month,Indicator,الباحة,بلجرشي,أخرى الباحة,بريدة,الرس,عنيزة,أخرى القصيم,أبها,خميس مشيط,أخرى عسير,الأحساء,الخبر,الدمام,أخرى الشرقية,حائل,أخرى حائل,جازان,أخرى جازان,القريات,سكاكا,أخرى الجوف,العلا,المدينة المنورة,ينبع,أخرى المدينة المنورة,جدة,مكة المكرمة,رابغ,الطائف,أخرى مكة المكرمة,نجران,أخرى نجران,عرعر,أخرى الحدود الشمالية,الرياض,أخرى الرياض,الوجه,ضباء,تبوك,أملج,أخرى تبوك,الإجمالي,المؤشر,الشهر,
,,,,Al Bahah,BILJURASHI,Other AlBaha,Buraydah,Rass,Unayzah,Other AlQassim,Abha,Khamis Mushait,Other Aseer,Al Ahsa,Al Khobar,Dammam,Other Eastern,Hail,Other Hail,Jazan,Other Jazan,Al Qurayyat,Sakaka,Other Jouf,Al Ula,Madinah,Yanbu,Other Madinah,Jeddah,Makkah,Rabigh,Taif,Other Makkah,Najran,Other Najran,Arar,Other NB,Riyadh,Other Riyadh,Al Wajh,Duba,Tabuk,Umluj,Other Tabuk,TOTAL,,,
,2023,January,Tourists Number (Overnight Visitors),22752,5727,11099,208857,5322,41121,17999,99792,114403,315975,183465,98894,316248,338716,110765,10958,257252,109130,23371,42864,6418,29802,308634,60674,19156,687093,499061,34818,132354,335136,80112,24042,51744,39882,1035749,298109,12999,24770,113904,14777,21229,6165173,عدد السياح (زوار المبيت),يناير,2023
,,,Tourists Spending (SAR),23231191,5122769,5948499,214107673,21297550,56378504,31781389,127687261,124522642,274475153,141283002,107196505,460369867,378952587,219263893,24731072,161476368,119640038,30929883,113215614,4324835,34983982,318351369,93062875,12786633,1008632744,627352158,15440035,125017546,185129589,136670491,32295234,127434879,67992332,2293543087,591767335,7627523,11969849,236951459,15644434,22478754,8611068604,إنفاق السياح (ريال),,
,,February,Tourists Number (Overnight Visitors),22506,5896,1957,322066,17705,36824,51459,118155,93211,229639,209560,106575,283108,318738,117447,7012,152880,89856,20304,49987,7161,26192,293251,55209,9694,633102,464559,30682,126313,162474,63445,11009,53417,36397,890774,213486,11431,21966,95561,13608,21452,5496068,عدد السياح (زوار المبيت),فبراير,
,,,Tourists Spending (SAR),35529854,6003464,1852780,360134421,13470617,47962288,67934310,154370296,146957304,253096864,282175039,128440373,343435464,331389206,210853561,11533778,96485232,79481070,50624188,94211959,18560384,56275298,313423782,71524601,10770829,1014478326,640337802,13375859,101844804,143471934,127317874,34827413,136355480,41280158,1876232600,344349477,7013989,10554413,269274056,10531981,12953222,7970696348,إنفاق السياح (ريال),,
,,March,Tourists Number (Overnight Visitors),35111,6260,11862,212256,6123,48268,38452,164027,118037,210075,231594,140433,347437,373478,149274,47187,70799,114316,25840,61972,8076,29918,353038,66738,41567,832742,713234,31234,195834,149876,64120,12715,49042,35111,914755,237907,14747,23170,126358,17915,34792,6365690,عدد السياح (زوار المبيت),مارس,
,,,Tourists Spending (SAR),51446924,5075002,8402144,362807090,9451789,45903879,44200964,272250322,199161798,191692070,162481889,155391142,537858615,544091402,246838209,54368820,101158151,185485540,22051185,115305532,20541376,43520004,485995510,97113057,28671109,1760143445,800889901,21078221,321933038,156826443,147637418,11795217,126501425,51689634,1975052191,489942155,10334665,14667995,286636819,10764205,10040966,10187197261,إنفاق السياح (ريال),,
,,April,Tourists Number (Overnight Visitors),51815,5697,11975,422328,39601,54530,43468,166495,163901,156268,225111,131432,335233,424992,136905,22873,71808,115080,28290,60287,7790,25303,429930,53287,34299,833495,842660,28290,288298,125183,82932,12686,44019,48831,736589,281574,14757,21227,102141,18552,37782,6737714,عدد السياح (زوار المبيت),أبريل,
,,,Tourists Spending (SAR),83069769,5051679,8734238,717671417,36340099,71816374,143605633,219436899,274183744,230805434,235242394,159023357,546483258,633257135,318966020,38096302,102211888,184605380,40212182,84650316,11555656,26727623,493494778,68743872,33292553,1512914390,1195555270,20439284,309483993,118096176,129849105,14914762,60090798,86029228,1394137153,478466548,18282348,15257461,200885882,16496826,18797627,10356974847,إنفاق السياح (ريال),,
,,May,Tourists Number (Overnight Visitors),41293,12948,5762,172424,13898,33116,14244,151989,110741,142931,179756,126165,278106,299322,83642,13321,45835,31640,19219,37888,5111,15156,258444,55865,18115,676313,349364,24199,214597,130911,54481,7242,28017,27445,806277,229222,12107,19261,104742,14986,33975,4900070,عدد السياح (زوار المبيت),مايو,
,,,Tourists Spending (SAR),44208034,15636378,7138467,278724636,19799516,52617022,8899123,186365367,125556462,136845647,131339150,154624470,533918538,422179311,150300987,24529836,64070208,42995963,27421599,42076961,3824035,20201044,300017370,80910789,16612941,1282826109,416230205,17100753,158388068,164490155,84055247,7509582,88836206,38919128,1250623154,336894390,13658303,10867026,191436858,13267686,15101110,6981017837,إنفاق السياح (ريال),,
,,June,Tourists Number (Overnight Visitors),189637,35046,35480,402264,39656,82512,77292,485386,339234,440497,294403,162053,373471,534666,230254,5715,76757,73971,46552,79193,12127,38457,473999,69379,55471,855261,1079205,36916,466812,231961,135687,17473,68064,63277,1031977,420715,19674,27346,151540,24363,58093,9341836,عدد السياح (زوار المبيت),يونيو,
,,,Tourists Spending (SAR),495517215,49682078,67971781,733097263,107365859,86664564,87681814,810022468,541973066,614879304,421780456,200853400,651417322,715160291,479666654,15882026,154822920,137714331,135304937,138782551,34829347,74787285,601906586,79037414,154168317,1978324499,3787492933,20746206,827991589,412939607,412830575,28411366,182987201,186924879,2432701747,616374693,18907914,27200222,400297306,23913625,72577379,19021590990,إنفاق السياح (ريال),,
,,July,Tourists Number (Overnight Visitors),199619,13983,34283,271394,13966,45232,22579,625468,300597,265101,220071,137027,384894,327213,127189,1007,65987,50413,30331,52995,7917,27394,379938,75884,9558,885079,462309,31958,534519,131886,84453,15072,38947,39338,1037493,322755,15049,20973,157313,20238,67473,7554895,عدد السياح (زوار المبيت),يوليو,
,,,Tourists Spending (SAR),285041428,12608165,39170977,408598619,25101938,56521650,29737475,902826077,556650684,300605367,158400672,173919299,511416279,646025540,235847219,396267,64681361,46966009,39748205,55484399,14787286,29054590,328394734,73679692,25689730,1463582616,517983907,19962967,582723463,147387303,93620374,13180241,66217461,32112027,1974348502,397670152,23053083,10592551,240937266,19065799,34122243,10657913619,إنفاق السياح (ريال),,
,,August,Tourists Number (Overnight Visitors),92660,10941,5891,226410,21703,46685,6246,328565,165578,175417,227995,129852,458525,353068,117239,17655,54085,73679,29219,44963,6732,23339,412688,82453,11980,823990,621253,32800,442838,87037,75945,18009,36504,39494,1013741,419282,16921,22232,141540,18723,55886,6989763,عدد السياح (زوار المبيت),أغسطس,
,,,Tourists Spending (SAR),72909485,7857522,2273101,341732329,50368563,36520659,5698689,404714120,187767697,110486355,239495505,141357238,484427566,582823638,177190128,21378975,94077584,47508209,31420118,61952556,8540871,21261670,369942225,123474891,11710827,1006720007,755145813,16493280,379643015,55315363,83493814,10193744,118162216,48389106,1665188675,386325227,8552504,54547125,247298827,12432457,41240710,8526032404,إنفاق السياح (ريال),,
,,September,Tourists Number (Overnight Visitors),41840,8579,12726,228472,5513,45518,29785,170411,138767,165787,275777,136210,394641,296920,132010,11372,66316,51030,25531,59682,6086,27491,354291,70957,6686,693734,493257,34736,251234,127370,86608,11147,37222,36511,991741,379778,16035,25059,138107,16660,32983,6134580,عدد السياح (زوار المبيت),سبتمبر,
,,,Tourists Spending (SAR),30557303,4455414,8011211,161041925,3094167,31169836,47329739,190632268,116499546,143837810,278686761,180637509,491595088,351367352,291203691,7021820,80964157,51671557,17880168,63403367,7422994,41586215,307668608,57365078,2691459,1024315744,479402448,20170161,210657296,69891084,165954091,17963742,45931645,36777631,1532379691,303351624,15137922,11767511,186281660,11209349,17735160,7116721801,إنفاق السياح (ريال),,
,,October,Tourists Number (Overnight Visitors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عدد السياح (زوار المبيت),أكتوبر,
,,,Tourists Spending (SAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,إنفاق السياح (ريال),,
,,November,Tourists Number (Overnight Visitors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عدد السياح (زوار المبيت),نوفمبر,
,,,Tourists Spending (SAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,إنفاق السياح (ريال),,
,,December,Tourists Number (Overnight Visitors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عدد السياح (زوار المبيت),ديسمبر,
,,,Tourists Spending (SAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,إنفاق السياح (ريال),,
,Total,,Tourists Number (Overnight Visitors),697233,105077,131035,2466471,163487,433806,301524,2310288,1544469,2101690,2047732,1168641,3171663,3267113,1204725,137100,861719,709115,248657,489831,67418,243052,3264213,590446,206526,6920809,5524902,285633,2652799,1481834,727783,129395,406976,366286,8459096,2802828,133720,206004,1131206,159822,363665,59685789,عدد السياح (زوار المبيت),الإجمالي,
,,,Tourists Spending (SAR),1121511202,111492472,149503199,3577915374,286290097,485554777,466869135,3268305079,2273272941,2256724004,2050884869,1401443291,4560921997,4605246462,2330130362,197938897,919947869,896068098,395592466,769083254,124386784,348397711,3519194962,744912269,296394398,12051937879,9220390439,164806766,3017682812,1453547656,1381428990,171091299,952517311,590114123,16394206800,3945141602,122568250,167424154,2260000132,133326361,245047170,89429213711,إنفاق السياح (ريال),,
